gene_id	LC_C1_nor	LC_C2_nor	LC_C3_nor	LC_C5_nor	LC_C1	LC_C2	LC_C3	LC_C5
ENSG00000281764	0	0	0	0	0	0	0	0
ENSG00000281299	0	0	0	0	0	0	0	0
ENSG00000281518	0	0	0	0	0	0	0	0
ENSG00000281876	0	0	0	0	0	0	0	0
ENSG00000281316	0	0	0	0	0	0	0	0
ENSG00000281877	0	0	0	0	0	0	0	0
ENSG00000280948	0	0	0	0	0	0	0	0
ENSG00000281092	0	0	0	0	0	0	0	0
ENSG00000280876	0	0	0	0	0	0	0	0
ENSG00000281679	0	0	0	0	0	0	0	0
ENSG00000280806	0	0	0	0	0	0	0	0
ENSG00000280926	0	0	0	0	0	0	0	0
ENSG00000281805	0	0	0	0	0	0	0	0
ENSG00000281917	0	0	0	0	0	0	0	0
ENSG00000280751	0	0	0	0	0	0	0	0
ENSG00000281626	0	0	0	0	0	0	0	0
ENSG00000280781	0	0	0	0	0	0	0	0
ENSG00000281707	0	0	0	0	0	0	0	0
ENSG00000281894	0	0	0	0	0	0	0	0
ENSG00000281456	0	0	0	0	0	0	0	0
ENSG00000280661	0	0	0	0	0	0	0	0
ENSG00000280795	0	0	0	0	0	0	0	0
ENSG00000281709	0	0	0	0	0	0	0	0
ENSG00000280907	0	0	0	0	0	0	0	0
ENSG00000281504	0	0	0	0	0	0	0	0
ENSG00000281306	0	0	0	0	0	0	0	0
ENSG00000281102	0	0	0	0	0	0	0	0
ENSG00000280872	0	0	0	0	0	0	0	0
ENSG00000281448	0	0	0	0	0	0	0	0
ENSG00000281661	0	0	0	0	0	0	0	0
ENSG00000281665	0	0	0	0	0	0	0	0
ENSG00000280610	0	0	0	0	0	0	0	0
ENSG00000281495	0	0	0	0	0	0	0	0
ENSG00000280516	0	0	0	0	0	0	0	0
ENSG00000281762	0	0	0	0	0	0	0	0
ENSG00000281886	0	0	0	0	0	0	0	0
ENSG00000280701	0	0	0	0	0	0	0	0
ENSG00000281198	0	0	0	0	0	0	0	0
ENSG00000252303	0	0	0	0	0	0	0	0
ENSG00000281771	0	0	0	0	0	0	0	0
ENSG00000280584	0	0	0	0	0	0	0	0
ENSG00000280820	0	0	0	0	0	0	0	0
ENSG00000281879	0	0	0	0	0	0	0	0
ENSG00000280632	0	0	0	0	0	0	0	0
ENSG00000281430	0	0	0	0	0	0	0	0
ENSG00000281309	0	0	0	0	0	0	0	0
ENSG00000281393	0	0	0	0	0	0	0	0
ENSG00000281022	0	0	0	0	0	0	0	0
ENSG00000281699	0	0	0	0	0	0	0	0
ENSG00000280858	0	0	0	0	0	0	0	0
ENSG00000280889	0	0	0	0	0	0	0	0
ENSG00000281243	0	0	0	0	0	0	0	0
ENSG00000281907	0	0	0	0	0	0	0	0
ENSG00000281541	0	0	0	0	0	0	0	0
